City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
256,New Norfolk,-42.7826,147.0587,42.71,62,20,3.15,AU,few clouds
257,Burang,30.25,81.1667,37.45,72,69,9.55,CN,broken clouds
258,Andrelandia,-21.7397,-44.3092,58.26,96,7,1.66,BR,clear sky
259,Stanthorpe,-28.6667,151.95,49.42,57,0,15.3,AU,clear sky
260,Glace Bay,46.1969,-59.957,35.89,85,7,5.01,CA,clear sky
261,Anahuac,27.2333,-100.15,86.41,31,100,18.3,MX,overcast clouds
262,Nemuro,43.3236,145.575,38.61,77,95,5.68,JP,overcast clouds
263,Prado,-17.3411,-39.2208,72.25,87,29,6.91,BR,scattered clouds
264,San Patricio,28.017,-97.5169,79.84,87,89,12.17,US,overcast clouds
265,Haiku-Pauwela,20.9219,-156.3051,73.04,72,0,23.02,US,clear sky
266,Fishers,39.9556,-86.0139,66.22,87,100,7.0,US,moderate rain
267,Cruzeiro Do Sul,-29.5128,-51.9853,72.5,95,98,2.57,BR,overcast clouds
268,Jaguaquara,-13.5306,-39.9708,65.37,94,23,2.82,BR,few clouds
269,Fale Old Settlement,-9.3852,-171.2468,83.97,77,8,14.7,TK,clear sky
270,Sassandra,4.95,-6.0833,84.97,67,100,8.23,CI,overcast clouds
271,Touros,-5.1989,-35.4608,77.14,83,65,11.79,BR,broken clouds
272,Moengo,5.6167,-54.4,74.25,97,100,1.36,SR,overcast clouds
273,Rio Verde De Mato Grosso,-18.9181,-54.8442,71.76,77,100,3.96,BR,heavy intensity rain
274,Carnarvon,-24.8667,113.6333,73.13,76,96,17.18,AU,overcast clouds
275,Lovech,43.1333,24.7167,67.46,51,19,7.54,BG,few clouds
276,Eyl,7.9803,49.8164,94.77,45,56,16.26,SO,broken clouds
277,Sosnovka,56.255,51.2842,45.18,38,86,15.05,RU,overcast clouds
278,Nelson Bay,-32.7167,152.15,55.99,53,25,14.0,AU,scattered clouds
279,Anna Regina,7.2644,-58.5077,76.53,86,75,4.59,GY,broken clouds
280,Happy Valley-Goose Bay,53.3168,-60.3315,39.51,65,75,6.91,CA,broken clouds
281,Colonia,50.9333,6.95,70.59,65,0,5.75,DE,clear sky
282,Vihti,60.417,24.3197,52.68,32,5,8.99,FI,clear sky
283,Usinsk,65.9939,57.5281,26.92,93,100,25.5,RU,light snow
284,Hirara,24.8,125.2833,75.47,94,75,16.11,JP,broken clouds
285,Karungdong,5.8844,121.263,84.29,73,98,2.82,PH,overcast clouds
286,Georgetown,5.4112,100.3354,87.75,74,20,5.75,MY,few clouds
287,Mo I Rana,66.3128,14.1428,48.67,50,0,5.75,NO,clear sky
288,Gwanda,-20.9333,29.0,85.55,20,0,9.48,ZW,clear sky
289,Hadibu,12.65,54.0333,88.21,54,1,4.7,YE,clear sky
290,Faya-Largeau,17.9257,19.1043,93.09,20,0,24.16,TD,sand
291,Naze,28.3667,129.4833,68.92,91,100,21.21,JP,overcast clouds
292,Qamdo,31.1667,97.2333,53.53,15,100,19.73,CN,overcast clouds
293,Upington,-28.4478,21.2561,66.58,39,0,6.91,ZA,clear sky
294,Tynda,55.1667,124.7167,37.49,81,100,7.27,RU,overcast clouds
295,Belyy Yar,53.6039,91.3903,75.09,20,0,11.18,RU,clear sky
296,General Toshevo,43.7,28.0333,69.28,39,39,8.01,BG,scattered clouds
297,Tateyama,34.9833,139.8667,69.73,94,75,14.97,JP,light intensity shower rain
298,Uliastay,47.7417,96.8444,47.97,53,100,3.58,MN,overcast clouds
299,Klaksvik,62.2266,-6.589,49.12,97,100,17.49,FO,overcast clouds
300,Iwanai,42.9744,140.5089,45.12,72,93,5.59,JP,overcast clouds
301,Nanao,37.05,136.9667,56.26,97,100,13.29,JP,light rain
302,Warmbad,-28.45,18.7333,67.57,24,0,4.92,NA,clear sky
303,Idri,27.5,13.2667,88.03,12,9,7.11,LY,clear sky
304,Patrocinio,-18.9439,-46.9925,59.11,88,1,4.25,BR,clear sky
305,Newman,37.3138,-121.0208,53.83,91,43,1.01,US,scattered clouds
306,Maumere,-8.6199,122.2111,81.57,80,23,6.35,ID,few clouds
307,Rio Grande,-32.035,-52.0986,68.23,98,100,5.64,BR,moderate rain
308,Al Mutayrifi,25.4788,49.5576,102.54,8,1,4.5,SA,clear sky
309,Pak Phanang,8.3511,100.202,95.02,67,99,2.82,TH,overcast clouds
310,Lambarene,-0.7001,10.2406,84.22,74,40,0.98,GA,scattered clouds
311,Berdigestyakh,62.0989,126.6992,30.27,92,86,13.4,RU,overcast clouds
312,Port Saint John'S,-31.6229,29.5448,71.08,66,99,9.75,ZA,overcast clouds
313,Grande Prairie,55.1667,-118.8027,50.18,46,100,11.5,CA,overcast clouds
314,Kostomuksha,64.571,30.5767,35.42,100,83,4.54,RU,broken clouds
315,Antsiranana,-12.2787,49.2917,90.36,45,40,20.71,MG,scattered clouds
316,Amboasary,-25.0333,46.3833,86.67,42,3,5.28,MG,clear sky
317,Isla Vista,34.4133,-119.861,55.0,91,0,0.0,US,clear sky
318,Northam,51.0333,-4.2167,58.66,84,67,7.2,GB,broken clouds
319,Laguna,38.421,-121.4238,50.92,88,0,6.91,US,clear sky
320,Kolonia Town,6.964,158.206,83.46,79,100,10.18,FM,light rain
321,South Hedland,-20.4089,118.5983,80.53,54,43,8.05,AU,scattered clouds
322,Viedma,-40.8135,-62.9967,52.29,76,2,6.64,AR,clear sky
323,Antalaha,-14.9003,50.2788,82.6,64,7,11.59,MG,clear sky
324,Markala,13.7021,-6.0659,99.43,24,86,16.44,ML,overcast clouds
325,Belle Chasse,29.8549,-89.9906,72.0,92,20,4.61,US,few clouds
326,Lincoln City,44.9582,-124.0179,48.36,93,85,5.01,US,overcast clouds
327,Puerto Baquerizo Moreno,-0.9,-89.6,78.8,87,98,9.19,EC,light rain
328,Melekeok Village,7.4957,134.6367,82.81,68,17,6.26,PW,few clouds
329,Dadhar,29.4753,67.6514,101.62,4,0,19.51,PK,clear sky
330,Fisterra,42.9049,-9.2629,67.01,76,68,6.46,ES,broken clouds
331,Olinda,-8.0089,-34.8553,78.53,78,40,5.75,BR,scattered clouds
332,Tafo,6.7345,-1.6127,87.24,54,100,5.06,GH,overcast clouds
333,Lata,40.1629,-8.3327,67.08,53,43,6.64,PT,scattered clouds
334,Vredendal,-31.6683,18.5012,67.75,51,0,4.12,ZA,clear sky
335,Fredericksburg,38.3032,-77.4605,55.38,91,75,0.0,US,broken clouds
336,Hotan,37.0997,79.9269,64.89,15,100,9.51,CN,overcast clouds
337,Tchibanga,-2.85,11.0333,85.98,66,100,3.4,GA,overcast clouds
338,Leava,-14.3,-178.1667,82.96,76,16,7.09,WF,few clouds
